composer
"Marie, Gabriel Prosper"
"Marin, Marie-Martin Marcel"
"Marini, Biagio"
"Marmontel, Antoine François"
"Marpurg, Friedrich Wilhelm"
"Marschner, Heinrich"
"Marsick, Armand"
"Marteau, Henri"
"Martini, Giovanni Battista"
"Martucci, Giuseppe"
"Marty, Georges"
"Marx, Adolf Bernhard"
"Mascia, Giuseppe"
"Mason, Daniel Gregory"
"Mason, Lowell"
"Mason, William"
"Masse, Jean Baptiste"
"Massenet, Jules"
"Massé, Victor"
"Mathias, Georges"
"Mattheson, Johann"
"Matthison-Hansen, Waage"
"Mattos, Fernando"
"Maybrick, Michael"
"Mayer, Charles"
"Mayer, J. B."
"Maylath, Henry"
"Mayseder, Joseph"
"Mazas, Jacques Féréol"
"Mazurette, Salomon"
"Meerts, Lambert Joseph"
"Melani, Alessandro"
"Mendelssohn, Arnold"
"Mendelssohn, Felix"
"Mercadante, Saverio"
"Merighi, Vincenzo"
"Merkel, Gustav Adolf"
"Mertz, Johann Kaspar"
"Merula, Tarquinio"
"Mestrino, Niccolò"
"Methfessel, Ernst"
"Meyer, Leopold de"
"Meyerbeer, Giacomo"
"Meynne, Guillaume"
"Michałowski, Aleksander"
"Miguez, Leopoldo"
"Mikorey, Franz"
"Milchmeyer, Johann Peter"
"Millard, Harrison"
"Minoret, Guillaume"
"Moeremans, Leo"
"Moja, Leonardo"
"Molbe, Heinrich"
"Moldenit, Joachim"
"Molino, Francesco"
"Molique, Bernhard"
"Monn, Georg Matthias"
"Monsigny, Pierre-Alexandre"
"Monteverdi, Claudio"
"Monzani, Tebaldo"
"Morales, Cristóbal de"
"Morandi, Giovanni"
"Morgan, Riley E."
"Morley, Thomas"
"Mortaro, Antonio"
"Moscheles, Ignaz"
"Mosel, Giovanni Felice"
"Moszkowski, Moritz"
"Mottl, Felix"
"Moyreau, Christophe"
"Mozart, Leopold"
"Mozart, Wolfgang Amadeus"
"Moór, Emanuel"
"Muffat, Georg"
"Mussini, Niccolo"
"Méreaux, Jean-Amédée Lefroid de"
"Müller Berghaus, Karl"
"Müller, August Eberhard"
"Müller, Johann Adam"
"Müller, Peter"
"Müthel, Johann Gottfried"
"Młynarski, Emil"
"Nachéz, Tivadar"
"Nanino, Giovanni Maria"
"Nardini, Pietro"
"Naumann, Ernst"
"Naumann, Johann Gottlieb"
"Navrátil, Karel"
"Neefe, Christian Gottlob"
"Nemerovsky, Aleksandr"
"Neri, Massimiliano"
"Neruda, Franz"
"Neubauer, Franz Christoph"
"Nicolai, Johann Gottlieb"
"Nicolai, Valentino"
"Nielsen, Carl"
"Niemann, Walter"
"Nikol'skij, Aleksandr"
"Noren, Heinrich Gottlieb"
"Nottebohm, Gustav"
"Novák, Vítězslav"
"Nowowiejski, Feliks"
"Nölck, August"
"Nürnberg, Hermann"
"Obouhow, Nicolas"
"Ockeghem, Johannes"
"Ocón, Eduardo"
"Oesten, Theodore"
"Offenbach, Jacques"
"Ogiński, Michał Kleofas"
"Onslow, Georges"
"Ornstein, Leo"
"Ostijn, Willy"
"Oswald, Henrique"
"Ouseley, F.A. Gore"
"Oveja, Leira"
"Pachelbel, Johann"
"Paderewski, Ignacy Jan"
"Paganini, Niccolò"
"Paine, John Knowles"
"Paisiello, Giovanni"
"Paladilhe, Émile"
"Palaschko, Johannes"
"Palestrina, Giovanni Pierluigi da"
"Pallavicino, Carlo"
"Palmgren, Selim"
"Palschau, Johann Gottfried Wilhelm"
"Panseron, Auguste Mathieu"
"Parker, Horatio"
"Parks, Young"
"Parry, Charles Hubert Hastings"
"Pasquali, Nicolo"
"Paxton, Stephen"
"Paër, Ferdinando"
"Pembaur, Josef"
"Pepusch, John Christopher"
"Perger, Richard von"
"Pergolesi, Giovanni Battista"
"Perosi, Lorenzo"
"Pessard, Émile"
"Peterson-Berger, Wilhelm"
"Petrie, George"
"Pettoletti, Pietro"
"Pez, Johann Christoph"
"Pfeiffer, Georges Jean"
"Pfeiffer, Johann"
"Pfitzner, Hans"
"Philidor, Anne Danican"
"Philipp, Isidor"
"Piatti, Alfredo Carlo"
"Piccinni, Niccolò"
"Pichl, Vaclav"
"Pierné, Gabriel"
"Pixis, Johann Peter"
"Pla, José"
"Platti, Giovanni Benedetto"
"Pleyel, Ignaz"
"Plotényi, Ferdinand"
"Polignac, Edmond de"
"Polledro, Giovanni Battista"
"Polovinkin, Leonid Alexeyevich"
"Ponce, Manuel"
"Ponchielli, Amilcare"
"Pontelibero, Ferdinando"
"Popper, David"
"Porpora, Nicola Antonio"
"Potolovsky, Nikolai"
"Pozzoli, Ettore"
"Praeger, Heinrich Aloys"
"Praetorius, Michael"
"Pratella, Francesco Balilla"
"Prelleur, Peter"
"Prendiville, Harry"
"Proch, Heinrich"
"Prudent, Émile"
"Pugnani, Gaetano"
"Pugno, Raoul"
"Purcell, Henry"
"Quantz, Johann Joachim"
"Quef, Charles"
"Quilter, Roger"
"Raab, Jos."
"Rabaud, Henri"
"Radecke, Robert"
"Radicati, Felice"
"Radnai, Miklós"
"Raff, Joachim"
"Rameau, Jean-Philippe"
"Ramsöe, Wilhelm"
"Rasetti, Amédée"
"Rasmussen, Alfred"
"Ratez, Emile Pierre"
"Rathgeber, Valentin"
"Ravina, Jean Henri"
"Reading, John"
"Reber, Napoléon Henri"
"Rebikov, Vladimir Ivanovich"
"Reger, Max"
"Reicha, Anton"
"Reichardt, Johann Friedrich"
"Reichenauer, Antonín"
"Reinards, William"
"Reincken, Johann Adam"
"Reinecke, Carl"
"Reinhold, Hugo"
"Reisserová, Julie"
"Reissiger, Carl Gottlieb"
"Relfe, Lupton"
"Remdé, Johann Christian Heinrich"
"Renner, Joseph"
"Respighi, Ottorino"
"Ressi, Marco"
"Reuchsel, Amédée"
"Reyer, Ernest"
"Rheinberger, Josef Gabriel"
"Rhené-Baton, Emmanuel"
"Rice, N.H."
"Richards, Brinley"
"Rieding, Oskar"
"Riem, Wilhelm"
"Ries, Ferdinand"
"Ries, Hubert"
"Rietz, Julius"
"Rimsky-Korsakov, Nikolai"
"Rinck, Christian Heinrich"
"Ritschel, Georg Wenzel"
